ry | 0 | -2.24565785949759
ry | 1 | -0.0112345174702181
ry | 2 | 0.0385456433169968
ry | 3 | 0.493400889231033
ry | 4 | 0.416031710784417
ry | 5 | 1.57841885905604
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.258816184080834
ry | 1 | -1.74672998277729
ry | 2 | -1.61336635222256
ry | 3 | -0.458098085386747
ry | 4 | -0.281501006703495
ry | 5 | -0.00693481382946409
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.84711312810070
ry | 1 | 2.64655981459601
ry | 2 | -1.59741728034384
ry | 3 | -1.66487524945240
ry | 4 | -1.62668540430319
ry | 5 | -2.69133130648552
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.50873840751654
ry | 1 | -0.240452092182040
ry | 2 | -1.18435793063195
ry | 3 | 1.19286287073305
ry | 4 | 0.0667433387329955
ry | 5 | -0.0290125626018779
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.964179164147363
ry | 1 | 0.343150160822090
ry | 2 | -0.203188824114263
ry | 3 | 2.16310857750959
ry | 4 | 0.342399924679649
ry | 5 | -1.15153780039076
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.77423969708410
ry | 1 | 3.97321898889639
ry | 2 | 1.66935591060810
ry | 3 | -0.658140729700695
ry | 4 | 0.127781100678034
ry | 5 | 0.0980160362336789
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.64493707888988
ry | 1 | 1.48608219477109
ry | 2 | -0.109142834794324
ry | 3 | 0.109542775428103
ry | 4 | 1.16398941120122
ry | 5 | 2.28560141315206
