ry | 0 | 1.71591988992413
ry | 1 | -1.37272034902168
ry | 2 | -0.903745040765102
ry | 3 | 0.156847830432938
ry | 4 | -0.301313515101150
ry | 5 | 0.154035566176661
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.187009451139393
ry | 1 | -0.109659847333284
ry | 2 | 0.576942276723603
ry | 3 | 0.390742157435997
ry | 4 | 0.0175621141726856
ry | 5 | -0.0269597723113694
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -2.52084799293799
ry | 1 | 1.25244271277988
ry | 2 | -0.498111080847282
ry | 3 | 1.06207450853065
ry | 4 | 1.72784454073893
ry | 5 | 1.39130173921600
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.566254976535679
ry | 1 | -0.717222150415319
ry | 2 | 0.388281054932936
ry | 3 | 1.06175146029538
ry | 4 | -0.551768732495129
ry | 5 | -0.0315571268153655
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.454829390941929
ry | 1 | -0.276491602176521
ry | 2 | 2.89286217145488
ry | 3 | -0.916988468506298
ry | 4 | 2.25257943413222
ry | 5 | -1.37919027736714
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.511898473072935
ry | 1 | 0.680384939118835
ry | 2 | -0.461419677956303
ry | 3 | -0.911336236068638
ry | 4 | 3.17091351932732
ry | 5 | -3.17340199175404
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.782129572124857
ry | 1 | -0.446049393880921
ry | 2 | -1.82558396391816
ry | 3 | -0.462473732256254
ry | 4 | 0.516718427804216
ry | 5 | 0.0774443781442520
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.338398321874718
ry | 1 | 0.155555846530672
ry | 2 | -0.643891287720929
ry | 3 | 0.108666071497990
ry | 4 | 0.143310762170064
ry | 5 | -0.171655527432143
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.399428077253173
ry | 1 | 0.206764147357082
ry | 2 | -0.124457637597082
ry | 3 | 0.402687914206895
ry | 4 | 0.894001273296564
ry | 5 | 0.0774649130739883
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0961028222504315
ry | 1 | 0.105787969575488
ry | 2 | 0.539363703848323
ry | 3 | -0.0782871013101359
ry | 4 | -0.0263941916066811
ry | 5 | 0.0542380820163507
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.186256036836215
ry | 1 | -0.258623416654498
ry | 2 | 0.266464223642323
ry | 3 | -0.566728019660544
ry | 4 | 0.0384184866215123
ry | 5 | 0.0141245220658366
