ry | 0 | -0.319612877081699
ry | 1 | 1.24216931404152
ry | 2 | 0.113876552124601
ry | 3 | -0.0274408387404639
ry | 4 | -0.510571861880283
ry | 5 | -1.69320749917939
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.701676012273962
ry | 1 | -0.145168307598171
ry | 2 | -0.301555328418215
ry | 3 | 0.308030026999279
ry | 4 | 0.48556012552988
ry | 5 | 0.350637477445935
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.40549233451644
ry | 1 | -2.09176490970318
ry | 2 | -0.653521197274481
ry | 3 | 1.79101484251025
ry | 4 | 0.29839198224438
ry | 5 | 2.18153977560543
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.25873070169433
ry | 1 | 0.936144561096589
ry | 2 | 0.238703994594736
ry | 3 | -0.730593423576035
ry | 4 | -0.947717165372961
ry | 5 | -0.140732949404473
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0340863824309655
ry | 1 | 1.79225946112609
ry | 2 | 0.782598200743608
ry | 3 | -1.77561036688727
ry | 4 | 0.350709845609303
ry | 5 | -0.825700301599076
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.442967107756657
ry | 1 | -0.796493571146431
ry | 2 | 0.0481618807023888
ry | 3 | 0.385104553390965
ry | 4 | -0.012146839298075
ry | 5 | 0.277585833120924
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.70371762054236
ry | 1 | -0.224599584836427
ry | 2 | -0.05602901086823
ry | 3 | 0.0881332402528597
ry | 4 | -0.0827123763799508
ry | 5 | -0.100928989837811
