ry | 0 | 1.72076478131048
ry | 1 | 0.912567957186684
ry | 2 | -1.34470453660437
ry | 3 | -2.8560515689122
ry | 4 | -1.2552353531318
ry | 5 | -0.232919386429788
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.921316406275151
ry | 1 | 1.03989508159972
ry | 2 | 0.878284803729894
ry | 3 | 0.0934987683475336
ry | 4 | 3.38622616451868
ry | 5 | 0.187228887851271
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.12449128893295
ry | 1 | -1.03699685940226
ry | 2 | -0.932844778575105
ry | 3 | 1.58582598235045
ry | 4 | -1.0710925607202
ry | 5 | -0.0309647352788385
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.48450121449905
ry | 1 | -2.66710749252903
ry | 2 | 0.73126425280399
ry | 3 | -0.240830640457949
ry | 4 | -1.04916265877408
ry | 5 | 2.94356215624933
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.6664937042464
ry | 1 | 2.61599337915937
ry | 2 | -0.355938188466208
ry | 3 | 0.61430275310767
ry | 4 | -0.88045613974303
ry | 5 | -1.29931819952485
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.1369453185897
ry | 1 | 1.89884947057089
ry | 2 | 1.02257183852269
ry | 3 | 1.45662966495968
ry | 4 | -3.11226681064346
ry | 5 | -0.320597675959957
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.44680679512795
ry | 1 | 0.687906162377272
ry | 2 | 0.325273716463649
ry | 3 | 0.0646710340814594
ry | 4 | 1.53700188398208
ry | 5 | -1.22370271797213
