ry | 0 | -0.477218240163016
ry | 1 | -2.66450795671523
ry | 2 | 2.56271680959063
ry | 3 | 0.0569723573476484
ry | 4 | 0.353789809816627
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.032858946921534
ry | 1 | -0.477705896497208
ry | 2 | -0.136604725784406
ry | 3 | -0.128703308930379
ry | 4 | 0.613763547559834
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.18334986544531
ry | 1 | 1.42228345085582
ry | 2 | 0.0809862594560816
ry | 3 | -1.2888512159696
ry | 4 | 1.82829716833576
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.02275407302081
ry | 1 | 0.994833455809566
ry | 2 | -4.23524921409843
ry | 3 | 1.70878542642898
ry | 4 | -1.48108101845135
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 3.79708785808124
ry | 1 | 1.39579695892603
ry | 2 | -0.425268592414219
ry | 3 | -0.876836432736518
ry | 4 | -0.150468422817278
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.213709007953123
ry | 1 | -0.393407596571071
ry | 2 | -0.139505474864779
ry | 3 | -0.411685264027032
ry | 4 | -0.33904388185442
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.38996474718327
ry | 1 | -0.435457908584212
ry | 2 | -0.0358484119800952
ry | 3 | -0.145513326011335
ry | 4 | -0.241320712133811
