ry | 0 | -0.433882657518048
ry | 1 | -0.0666485230331137
ry | 2 | -0.0274992405415132
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0530790495298428
ry | 1 | -0.116735226429064
ry | 2 | 0.0144281602077153
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.100456966132222
ry | 1 | -0.0900967812906468
ry | 2 | -0.0493125027864073
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0732223266879402
ry | 1 | 0.00838140723506316
ry | 2 | -0.132248728460224
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.259842844499608
ry | 1 | -0.12828453265179
ry | 2 | 0.551081807682259
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.165024838982334
ry | 1 | 0.108066019062715
ry | 2 | -0.113192500596077
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0451626197369446
ry | 1 | 0.232230283239124
ry | 2 | -0.276150317981599
