ry | 0 | 3.10488303770381
ry | 1 | -0.125735507318128
ry | 2 | -0.68311714861691
ry | 3 | -0.0117351419747355
ry | 4 | 0.202141490208761
ry | 5 | 0.0845165035099694
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.40073265677943
ry | 1 | -0.416732606488198
ry | 2 | 0.0224373151725504
ry | 3 | 0.0182498512632213
ry | 4 | 0.059929260634413
ry | 5 | -0.302051639559952
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.69900628027143
ry | 1 | -2.07182524930109
ry | 2 | 1.21020009063627
ry | 3 | -1.58239191620883
ry | 4 | -0.183701350633805
ry | 5 | 0.947750073789632
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -3.57464031908696
ry | 1 | 0.403557456920788
ry | 2 | -0.140417845596955
ry | 3 | -1.02377544403256
ry | 4 | 0.990364924288982
ry | 5 | 0.939127879376917
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 2.32337670791279
ry | 1 | -0.708928943615428
ry | 2 | 0.709492565649862
ry | 3 | 1.54470727253482
ry | 4 | -0.0612222003405334
ry | 5 | -1.4821950454384
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.571794331200561
ry | 1 | 0.462261479478904
ry | 2 | 0.0511569648828393
ry | 3 | -0.0881694279233088
ry | 4 | 0.161083117776067
ry | 5 | 0.106720061523267
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.208978855747824
ry | 1 | 0.192427565200879
ry | 2 | -0.527784670374014
ry | 3 | 0.0661930315306658
ry | 4 | -0.0449628817331586
ry | 5 | 0.0530174283992316
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.364222144980945
ry | 1 | 0.423289131106675
ry | 2 | -0.0430426094974213
ry | 3 | -0.0153369054658888
ry | 4 | 0.0685698035284683
ry | 5 | -0.0387027434097461
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0119802380426729
ry | 1 | 0.29775128328309
ry | 2 | -0.195421759630389
ry | 3 | 0.0110939824639655
ry | 4 | -0.0207853027509986
ry | 5 | -0.0161037638204973
