ry | 0 | -0.217638702395578
ry | 1 | 0.487631061614265
ry | 2 | 0.441048170546926
ry | 3 | 1.74164801176546
ry | 4 | 0.719924034049204
ry | 5 | -0.0354051944505315
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.000389135217002753
ry | 1 | 0.461927637813166
ry | 2 | 0.0523695809637651
ry | 3 | 0.0319432060466245
ry | 4 | -0.283501993940671
ry | 5 | -0.51154389550843
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0903789681082998
ry | 1 | 0.605614801639711
ry | 2 | 0.909400002495998
ry | 3 | -0.26284438973837
ry | 4 | -0.639524667707916
ry | 5 | 1.03957179888373
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00260987350439943
ry | 1 | 2.02313825361517
ry | 2 | 0.460736359869029
ry | 3 | -1.0858976654895
ry | 4 | -1.14879445241735
ry | 5 | 0.0727922406416962
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.752021593581914
ry | 1 | -1.56197724483398
ry | 2 | -1.36274713161037
ry | 3 | -0.744471811459189
ry | 4 | 0.402100758336934
ry | 5 | -0.873375110976412
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.23362788667027
ry | 1 | -0.148418254036984
ry | 2 | -0.0342637801755191
ry | 3 | 0.0020842716339638
ry | 4 | -0.0238534391974529
ry | 5 | -0.00255080080800126
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.127923525798257
ry | 1 | -1.13565650254379
ry | 2 | -0.154000617404905
ry | 3 | -0.679358016834228
ry | 4 | -0.4472909338325
ry | 5 | -0.360095193750618
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.39847729025296
ry | 1 | 0.0629290672943679
ry | 2 | 0.127094886163436
ry | 3 | 0.00915171401738134
ry | 4 | 0.0900630481505427
ry | 5 | -0.0186234943203007
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.341216710398964
ry | 1 | -0.241638600661534
ry | 2 | 0.113107135908272
ry | 3 | -0.11177501046676
ry | 4 | -0.0522083202779832
ry | 5 | -0.0571682215758589
