ry | 0 | 0.415389972520806
ry | 1 | 0.0568616600593733
ry | 2 | 0.00099236428124664
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0591587339037943
ry | 1 | 0.0667507582209224
ry | 2 | -0.0182152392266579
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.00731962555892695
ry | 1 | 0.00475338395871148
ry | 2 | 0.00840280117014308
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0021289905478521
ry | 1 | 0.0999371283423391
ry | 2 | -0.0897777516126941
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.232905652086184
ry | 1 | -0.00256944200508547
ry | 2 | -0.471131455590172
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0336633677825133
ry | 1 | -0.12145570507818
ry | 2 | 0.146249275981302
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0534246384115423
ry | 1 | -0.193079844007803
ry | 2 | 0.111292502445423
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.00367680071698828
ry | 1 | 0.0396313822276853
ry | 2 | -0.0553815779899172
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0877876499991345
ry | 1 | 0.0444323253579014
ry | 2 | 0.00259947436679608
