ry | 0 | 1.08246044085056
ry | 1 | 1.21586963397673
ry | 2 | -2.14790730141121
ry | 3 | 0.0220092253433271
ry | 4 | -0.258486550479162
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.00857071790312025
ry | 1 | -0.0349725532366904
ry | 2 | -0.369122841631771
ry | 3 | 0.00832426070714685
ry | 4 | -0.110734085014875
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.867210265105207
ry | 1 | -3.23733911804044
ry | 2 | -1.26527455219365
ry | 3 | 1.9644432675044
ry | 4 | -2.67712367493888
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.665070417897046
ry | 1 | -2.96512591227756
ry | 2 | 0.13196947386313
ry | 3 | -4.01443346227894
ry | 4 | 0.0947077301680686
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 2.13869030741301
ry | 1 | 1.45902064862289
ry | 2 | 0.621865405748068
ry | 3 | 1.04788570928891
ry | 4 | 0.528437814834815
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0965619459909785
ry | 1 | -0.167856676386395
ry | 2 | 0.196518710583428
ry | 3 | 0.0270873353129198
ry | 4 | -0.0642612878722434
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0709692332239087
ry | 1 | 0.168162070913403
ry | 2 | -0.172856373196761
ry | 3 | 0.250487922214675
ry | 4 | 0.0120471234007431
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.239756992808386
ry | 1 | 0.193603352493847
ry | 2 | 0.0664065297553934
ry | 3 | -0.420799148495824
ry | 4 | 0.273631088278179
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0479538551293264
ry | 1 | 0.0482131013444443
ry | 2 | -0.128143122646392
ry | 3 | 0.0390281168446152
ry | 4 | -0.238561877526068
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0237887990526957
ry | 1 | -0.0569725415807727
ry | 2 | -0.257415314411952
ry | 3 | 0.11615153064834
ry | 4 | -0.0978747491013795
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0105348786755092
ry | 1 | -0.0476603679396311
ry | 2 | -0.0320923547393974
ry | 3 | 0.0205956732671808
ry | 4 | -0.0186336776632021
