ry | 0 | 3.77753960470829e-5
ry | 1 | -2.88949349806134e-5
ry | 2 | 2.95636335122629e-5
ry | 3 | -1.71108618849890e-5
ry | 4 | -6.52066358531603e-5
ry | 5 | -0.653575644549475
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 2.49941523296028
ry | 1 | 0.000998349666268300
ry | 2 | -0.136285586091201
ry | 3 | 0.000102116356581511
ry | 4 | -0.567963024294243
ry | 5 | 0.632536366883648
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -3.14124839600805
ry | 1 | -8.76249499394013e-5
ry | 2 | -0.000132395582471676
ry | 3 | -0.000185328135645297
ry | 4 | -1.94774152150788e-5
ry | 5 | -6.20632404438346e-5
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.108182882107140
ry | 1 | -9.18777897754002e-7
ry | 2 | 0.0113572839638723
ry | 3 | 9.59407426261261e-8
ry | 4 | 0.548138958391219
ry | 5 | -0.0211115079762204
