ry | 0 | -2.74089723933311
ry | 1 | 1.76898240513446
ry | 2 | -2.85127145978782
ry | 3 | 1.14454359227412
ry | 4 | -2.13670144759819
ry | 5 | -1.56664633603490
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.487504646794482
ry | 1 | -0.0394923293772222
ry | 2 | -0.107601229654561
ry | 3 | -1.38497502211585
ry | 4 | -0.0410687340546159
ry | 5 | -0.128705282005210
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 3.13115730371772
ry | 1 | 1.40452137722230
ry | 2 | 3.05919034883309
ry | 3 | -0.160067877224291
ry | 4 | 1.74691616188241
ry | 5 | 1.57284870819994
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -2.71058540180197
ry | 1 | 0.552960195977247
ry | 2 | -0.0108014450874668
ry | 3 | 0.550550159086624
ry | 4 | -0.128611739516013
ry | 5 | -0.00254483957562923
