ry | 0 | -0.247222208452656
ry | 1 | -0.284276577160383
ry | 2 | -0.113128446980881
ry | 3 | 0.0652248565621481
ry | 4 | -0.208569744755812
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.367425481453263
ry | 1 | 0.0502570944637668
ry | 2 | 0.161452285695315
ry | 3 | 0.781631719993367
ry | 4 | -0.183290790121404
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.252344227273533
ry | 1 | -0.171541678939963
ry | 2 | -0.0230530528611111
ry | 3 | 0.359550821616570
ry | 4 | -0.297073165577988
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.503246829977280
ry | 1 | -0.0579804695757184
ry | 2 | -0.137448865711121
ry | 3 | -0.188731757658449
ry | 4 | -0.0868194517421926
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.240018544270289
ry | 1 | 0.0202414701292973
ry | 2 | 0.198617292968260
ry | 3 | 0.112936748132317
ry | 4 | 0.372068164345368
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.130048605460634
ry | 1 | 0.0693940655716784
ry | 2 | 0.115879137934322
ry | 3 | 0.548699852289586
ry | 4 | 0.362339870288158
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.62102511922571
ry | 1 | -0.183389778278569
ry | 2 | -0.0898398800388004
ry | 3 | -0.0574990804918463
ry | 4 | 0.332866206698207
