ry | 0 | 0.549122212549421
ry | 1 | -0.0915435457073119
ry | 2 | -0.00615810260848937
ry | 3 | 0.235486154784626
ry | 4 | -0.0678558283317284
ry | 5 | 0.369416388528125
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.194011102853971
ry | 1 | -0.536476469103949
ry | 2 | 0.221505383355978
ry | 3 | -0.662348491006470
ry | 4 | 0.302833425259608
ry | 5 | -0.574376916102734
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.155211988384503
ry | 1 | 0.0241312486106711
ry | 2 | 0.0486969280376472
ry | 3 | -0.116487092018792
ry | 4 | 0.577464923463298
ry | 5 | 0.339809404144951
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.14447947069162
ry | 1 | -0.707881769310847
ry | 2 | -0.172872142645600
ry | 3 | 0.397150356933437
ry | 4 | 0.569789796428633
ry | 5 | -0.793566517015971
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0342015505972671
ry | 1 | -0.282362281015738
ry | 2 | 0.00538932427910240
ry | 3 | 0.197930435929199
ry | 4 | -0.522093942756800
ry | 5 | 0.342211440492088
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.230348764326395
ry | 1 | -0.189694446129348
ry | 2 | 0.271525586248520
ry | 3 | 1.00975436651476
ry | 4 | -0.0173567669195999
ry | 5 | 0.497013519857464
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0825102933350824
ry | 1 | 0.230003409111323
ry | 2 | -0.0353929436626436
ry | 3 | 0.0111331351816329
ry | 4 | 0.508322699897518
ry | 5 | -0.0943414622084226
