ry | 0 | 0.0556273260977480
ry | 1 | 0.133797103161690
ry | 2 | -0.197632525790746
ry | 3 | 0.583576746548761
ry | 4 | 0.350089100702165
ry | 5 | -0.135343846390824
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0863976783970691
ry | 1 | 0.265259885206918
ry | 2 | 0.00741806181979512
ry | 3 | -0.498123891342248
ry | 4 | -0.305269814585668
ry | 5 | -0.0583957133848087
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.555469833691108
ry | 1 | 0.247816230349906
ry | 2 | 0.394552154888323
ry | 3 | 0.249726493925772
ry | 4 | -0.0766339585385032
ry | 5 | -0.657802058701973
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.52887783620831
ry | 1 | 0.148352826077307
ry | 2 | -0.132193674788164
ry | 3 | -0.807369164603287
ry | 4 | -0.994162485017482
ry | 5 | 0.380695986533793
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.131431575190005
ry | 1 | 0.335004009866460
ry | 2 | -0.232584052952825
ry | 3 | -0.473523089164860
ry | 4 | -0.539784558884963
ry | 5 | 0.374073373925633
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0976881028506828
ry | 1 | 0.456524947599240
ry | 2 | 0.164297594791446
ry | 3 | 0.437313778598852
ry | 4 | 1.18389643958671
ry | 5 | 0.321370719323518
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.226805783035591
ry | 1 | -0.766018709622412
ry | 2 | 0.414816249742276
ry | 3 | 0.0765109925508983
ry | 4 | 0.0898655987776092
ry | 5 | 0.261291882152822
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00137461771832856
ry | 1 | 0.304648013131499
ry | 2 | -0.00669198149074048
ry | 3 | 0.327727954629881
ry | 4 | 0.0584245550446210
ry | 5 | 0.0335038933030683
