ry | 0 | 0.0735830079305619
ry | 1 | -0.00384022981513258
ry | 2 | 0.254775614541729
ry | 3 | -0.392887997194407
ry | 4 | 0.132297194498045
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.217846771874258
ry | 1 | 0.00757261202437694
ry | 2 | -0.192154595915945
ry | 3 | 0.0914256649947210
ry | 4 | 0.165983720665814
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0915516684692944
ry | 1 | -0.0391771644174020
ry | 2 | -0.339610036471189
ry | 3 | -0.289615863639800
ry | 4 | -0.0975551247821831
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.136170615068460
ry | 1 | -0.0736369010920657
ry | 2 | -0.239368825862454
ry | 3 | -0.147520643089792
ry | 4 | -0.190297572412624
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0461392754888199
ry | 1 | -0.0284064510745809
ry | 2 | 0.0592705529370120
ry | 3 | 0.412334806430291
ry | 4 | 0.203693825443148
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.218310249495131
ry | 1 | -0.0656121482993653
ry | 2 | 0.145969278704914
ry | 3 | 0.243997933546422
ry | 4 | -0.207241903013977
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.372940653063843
ry | 1 | 0.168160188968817
ry | 2 | -0.376306361989470
ry | 3 | -0.590229338452812
ry | 4 | 0.0572145391279562
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.198579559823354
ry | 1 | -0.154318417959877
ry | 2 | -0.155507133486144
ry | 3 | -0.0408625473613611
ry | 4 | -0.178966935933819
