ry | 0 | -0.276482713373217
ry | 1 | -0.00115962582895382
ry | 2 | -0.0973055228941089
ry | 3 | 0.0920127371798607
ry | 4 | 0.217435805132387
ry | 5 | -0.228475552334803
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.598355717115587
ry | 1 | -0.0606684301357038
ry | 2 | -0.114182031916297
ry | 3 | -0.484410084280688
ry | 4 | 0.365484116879538
ry | 5 | -0.165915137965867
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0796473097755651
ry | 1 | -0.102744295126313
ry | 2 | 0.146087182313987
ry | 3 | 0.0257382054631604
ry | 4 | 0.331182332997522
ry | 5 | 1.29923911653208
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.132714552437819
ry | 1 | -0.0693792135590768
ry | 2 | 0.222221738762655
ry | 3 | -0.199274162557713
ry | 4 | -0.118377631041224
ry | 5 | -0.184632940555899
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.166165839036407
ry | 1 | -0.124732547332215
ry | 2 | 0.152407215955130
ry | 3 | 0.381653953025910
ry | 4 | -0.496695934544159
ry | 5 | -0.102227376170176
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.258465532284087
ry | 1 | 0.0727534175087916
ry | 2 | -0.0852067376833624
ry | 3 | -0.681045666627902
ry | 4 | -0.365404261366085
ry | 5 | -0.239476447831972
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0302329822471479
ry | 1 | 0.160173230807643
ry | 2 | -0.0824425351118177
ry | 3 | -0.00868536357239875
ry | 4 | -0.450098509760255
ry | 5 | -0.381548375975889
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0848505976831410
ry | 1 | 0.107380076236566
ry | 2 | 0.130622060586433
ry | 3 | 0.0488990687272306
ry | 4 | 0.0147527747290053
ry | 5 | -0.0587841924336345
