ry | 0 | 0.0104833253401109
ry | 1 | -0.0176441744541255
ry | 2 | -0.00205731886902635
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0155679231420026
ry | 1 | -0.184381133679844
ry | 2 | -0.00184413148305367
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0229893805963925
ry | 1 | -0.0169048729005848
ry | 2 | -0.000392862709021027
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0450019518019810
ry | 1 | -0.184932891768892
ry | 2 | -0.00171767021488394
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00822581006352994
ry | 1 | -0.0162364353702872
ry | 2 | -0.000362654466294139
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0168541036296469
ry | 1 | -0.183853689911762
ry | 2 | -0.00211104425660651
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0217349842166449
ry | 1 | -0.0154768876546641
ry | 2 | 0.00156757627888150
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0444033265268546
ry | 1 | -0.183580796280889
ry | 2 | -0.00190237185694558
