ry | 0 | -0.0423588299393477
ry | 1 | -0.0434470681166352
ry | 2 | -0.00409953737153737
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00477408851655707
ry | 1 | -0.0222883297247982
ry | 2 | 0.00343999344319939
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0418020602719510
ry | 1 | -0.0422189925214138
ry | 2 | 0.00331266912085114
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.762402610350701
ry | 1 | -0.0243429610917303
ry | 2 | -0.000965076729546539
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0583353572447970
ry | 1 | 0.0667240795199499
ry | 2 | -0.0103423787545808
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00265391885170847
ry | 1 | -0.0274617378193124
ry | 2 | -0.000204976192434412
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0453255755614164
ry | 1 | 0.0679661098746412
ry | 2 | 0.00998763850445595
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.754263434178001
ry | 1 | -0.0279527057815715
ry | 2 | 0.00200870686357998
