ry | 0 | 0.422977338963252
ry | 1 | -0.703586295622832
ry | 2 | -0.683634393073829
ry | 3 | 0.864450847720494
ry | 4 | 0.0830144580270744
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.169544238001383
ry | 1 | 0.504608498121313
ry | 2 | -0.796441882342131
ry | 3 | 0.0460526579148632
ry | 4 | 0.283732362782873
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.28084832975780
ry | 1 | 0.251442283675530
ry | 2 | 1.33085944991836
ry | 3 | -2.49984584673528
ry | 4 | -0.298817021485400
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.295928566235658
ry | 1 | 0.429944820853107
ry | 2 | 0.555513031419467
ry | 3 | -0.399287683830955
ry | 4 | 0.309342543614353
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.581114702029086
ry | 1 | -0.147177945030724
ry | 2 | -0.618147403967981
ry | 3 | 1.21546040729035
ry | 4 | 0.0298507770277382
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.195751072545351
ry | 1 | 0.361107991110811
ry | 2 | 0.291464551402613
ry | 3 | 0.217555861687768
ry | 4 | -0.0309900839081030
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0559096644646430
ry | 1 | 0.173405844904305
ry | 2 | 0.102522936018694
ry | 3 | 0.248651528094911
ry | 4 | 0.0369355960705316
