ry | 0 | 0.373186903391281
ry | 1 | 0.0133438064508635
ry | 2 | -0.116166886616943
ry | 3 | -0.0456883696250663
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.0813462942784450
ry | 1 | 0.109783546822105
ry | 2 | 0.0166319915277029
ry | 3 | -0.243209728120772
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.532603491777959
ry | 1 | 0.299935568481069
ry | 2 | 0.607950000381245
ry | 3 | 0.186326515549048
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -1.04330653649403
ry | 1 | -0.492055942963465
ry | 2 | 0.0411847947275584
ry | 3 | 0.134879547698814
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.436708542972017
ry | 1 | 0.374032719150238
ry | 2 | -0.803695905077434
ry | 3 | 0.406274379556896
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.458458503414666
ry | 1 | 0.447557992657078
ry | 2 | 0.0664267538914687
ry | 3 | -0.0603011598909895
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.10714534499134
ry | 1 | -0.479069095618273
ry | 2 | -0.159871040548679
ry | 3 | -0.331467045909026
