ry | 0 | -1.23479726086639
ry | 1 | -0.267574508866488
ry | 2 | -0.608218912666747
ry | 3 | 0.476018043054314
ry | 4 | 0.00789277554460744
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.360181235887660
ry | 1 | 0.463417155639757
ry | 2 | -0.435846254082768
ry | 3 | -0.0858081674765867
ry | 4 | -0.0337821300683794
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 2.37087536933970
ry | 1 | 2.27136149127860
ry | 2 | -0.170005201248709
ry | 3 | -0.935977942388310
ry | 4 | -2.08168825527597
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -2.91738681067393
ry | 1 | 0.154413372019100
ry | 2 | -1.24410189899683
ry | 3 | -0.220572762691826
ry | 4 | -0.249639336174386
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.144198632955177
ry | 1 | -0.272470892960140
ry | 2 | 1.05423536386379
ry | 3 | 0.200185211921475
ry | 4 | 2.19183852056601
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 1.44595582962155
ry | 1 | -0.319442367572105
ry | 2 | 1.25917830852366
ry | 3 | 0.126972432316266
ry | 4 | -0.314497489768761
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.212622347277685
ry | 1 | -0.207401701079488
ry | 2 | -0.610325120014885
ry | 3 | 0.578177839507429
ry | 4 | -0.147680900410809
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.684883502885410
ry | 1 | 0.954637449971465
ry | 2 | -0.0160660651410097
ry | 3 | 0.0394744822861165
ry | 4 | 0.405558797675425
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.397519320054750
ry | 1 | -0.267445989104507
ry | 2 | 0.111261141208630
ry | 3 | -0.119613968576619
ry | 4 | -0.0201359155488551
