ry | 0 | -1.08259945300624
ry | 1 | -0.227915822100753
ry | 2 | 0.771727273558570
ry | 3 | -0.0386890631984438
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.231222527956416
ry | 1 | 0.0559784886628723
ry | 2 | -0.0258882479845192
ry | 3 | -0.0330833918404001
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0751037633881643
ry | 1 | 0.0950346435540356
ry | 2 | -1.52772702606449
ry | 3 | 0.415193816339693
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.945237243484124
ry | 1 | 2.19683693147644
ry | 2 | -0.373420112686566
ry | 3 | 0.267066822854204
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.569073976726327
ry | 1 | -3.08981908510835
ry | 2 | -0.309157040102905
ry | 3 | -2.15886660856090
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.191433344344354
ry | 1 | 0.892968329065923
ry | 2 | -2.56289582526649
ry | 3 | -0.0159800358175481
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0937287399590182
ry | 1 | -0.254577456617248
ry | 2 | -0.451069180398119
ry | 3 | 1.04682020227938
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.778780288096774
ry | 1 | -0.133690163928572
ry | 2 | 0.0906731691345844
ry | 3 | 0.0128054026903496
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0676049632366602
ry | 1 | -0.0723870628338283
ry | 2 | 0.0822098708538462
ry | 3 | 0.177936687897134
