ry | 0 | -1.13413167965199
ry | 1 | -0.0925811758845262
ry | 2 | -0.0402902334946967
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0418997197464594
ry | 1 | -0.0351230446963123
ry | 2 | -0.00370880135743123
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.000906099267425332
ry | 1 | -0.000740180815094048
ry | 2 | -0.000816186547715034
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00117655460492481
ry | 1 | -0.0414309561917879
ry | 2 | -0.0121304204366441
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.119629568125755
ry | 1 | -0.0769503902453192
ry | 2 | 0.191055888900736
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.103143390200851
ry | 1 | 0.0707866639391137
ry | 2 | -0.0401705593222329
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.00763081275894021
ry | 1 | 0.0852029938943719
ry | 2 | -0.113924973898684
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0423095318950019
ry | 1 | -0.0229718854810959
ry | 2 | 0.0130566418480262
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0530638854814387
ry | 1 | -0.0338125190775635
ry | 2 | -0.0324776484709060
