ry | 0 | -1.75523977819142
ry | 1 | -2.40384371439721
ry | 2 | 1.52768574404223
ry | 3 | 1.08170955794425
ry | 4 | -0.0463967301953859
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0444909688817390
ry | 1 | -0.00571664224804594
ry | 2 | -0.158104460796447
ry | 3 | -0.0605755501718054
ry | 4 | -0.0195156178146869
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -2.49698222538634
ry | 1 | 0.456486061308428
ry | 2 | -0.118967923889869
ry | 3 | -2.65344457683674
ry | 4 | -5.20864315037279
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.37563626688860
ry | 1 | 2.19173883665943
ry | 2 | 1.29910523042079
ry | 3 | 0.681138413008961
ry | 4 | -0.305541166845917
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -3.43774175484604
ry | 1 | 3.15880429054452
ry | 2 | -0.813739322973578
ry | 3 | -0.132739222973019
ry | 4 | -0.504656309143258
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0959239076760232
ry | 1 | 0.266377070995054
ry | 2 | -0.628585808816549
ry | 3 | 0.263019308149658
ry | 4 | -0.231909876574808
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.244740386199178
ry | 1 | 0.110291488258833
ry | 2 | 0.527098463542468
ry | 3 | 1.07398467752385
ry | 4 | -0.339694274531083
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.229358204487956
ry | 1 | 0.381665821430749
ry | 2 | 0.488611129616394
ry | 3 | -0.116134084192106
ry | 4 | -0.0581352001704868
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.204444227182288
ry | 1 | 0.00753496080675415
ry | 2 | -0.533499588038277
ry | 3 | 0.149626768635367
ry | 4 | -0.0305299769081770
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.118812118239822
ry | 1 | 0.0114501564937816
ry | 2 | -0.0822275117937788
ry | 3 | -0.00220044183679881
ry | 4 | 0.0225205355876162
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00776486216504816
ry | 1 | 0.0278614369409673
ry | 2 | -0.0194751993028760
ry | 3 | -0.0111881769079946
ry | 4 | -0.000305025062172409
