ry | 0 | 1.56503332792693
ry | 1 | 0.420036929251786
ry | 2 | 0.717860530770706
ry | 3 | -0.429503373755671
ry | 4 | -0.864044523138505
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0343409147447786
ry | 1 | -0.179602265347951
ry | 2 | 0.487918685881268
ry | 3 | 0.103227973711037
ry | 4 | -0.230707670354171
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0425298944783038
ry | 1 | 2.51975858514578
ry | 2 | -0.0640435695129510
ry | 3 | 1.69536811413951
ry | 4 | -0.0556113233673833
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.757359480389958
ry | 1 | -2.61899749834117
ry | 2 | 0.328086758882229
ry | 3 | -0.244407737660334
ry | 4 | -0.122505209598677
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -2.03357036123733
ry | 1 | -1.78763140497683
ry | 2 | -0.669208668858122
ry | 3 | -2.09480774563441
ry | 4 | 0.601821445833524
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.04414311356917
ry | 1 | -0.680121953379218
ry | 2 | 0.573458200077993
ry | 3 | 0.220418486062197
ry | 4 | -0.273115990409166
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.15660836412527
ry | 1 | -0.195419411964058
ry | 2 | -2.12894493413572
ry | 3 | 0.603150638883396
ry | 4 | 0.225405400396523
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.552684230593514
ry | 1 | 0.247138895733929
ry | 2 | 0.00873779432763098
ry | 3 | -0.0236039068804164
ry | 4 | -0.0415062699011758
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.177248087060613
ry | 1 | 0.114840526601711
ry | 2 | 0.110021035494089
ry | 3 | 0.135829171788833
ry | 4 | -0.0141617241224497
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0808975018019910
ry | 1 | -0.175659697815922
ry | 2 | 0.0604551146556060
ry | 3 | 0.00200578979962899
ry | 4 | 0.0296296248828932
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00245010083259501
ry | 1 | 0.168869278108695
ry | 2 | 0.0229057857820960
ry | 3 | 0.0361820108236011
ry | 4 | 0.0340933731104493
