x | 2 | 
ry | 0 | -1.785552116730406
ry | 1 | -0.0933414926867384
ry | 2 | 0.17143986066590705
ry | 3 | 1.0045085427329041
ry | 4 | -1.6002429645078846
ry | 5 | 1.0343334127352612
ry | 6 | 0.3651622353906682
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | -1.4660001824667646
ry | 1 | -0.16628465047078578
ry | 2 | -3.967539976517771
ry | 3 | -1.6667013785455542
ry | 4 | 0.21864205956445953
ry | 5 | 0.12626969442222516
ry | 6 | 0.007874506910905531
cx | 5 6 | 
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.9330005734354881
ry | 1 | -0.24223797053588214
ry | 2 | -2.300148334077598
ry | 3 | 1.754926797364582
ry | 4 | 2.9955015765796382
ry | 5 | -0.254291562815598
ry | 6 | -0.43660000679336625
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 1.5544409153751497
ry | 1 | -0.08103816023030677
ry | 2 | -0.828381367443654
ry | 3 | 0.12357651500230875
ry | 4 | -0.5902448252989573
ry | 5 | -0.08921548032899895
ry | 6 | 0.005234276746187349
cx | 5 6 | 
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.2191281118467547
ry | 1 | -0.04841989338869875
ry | 2 | -1.2442644885676177
ry | 3 | 1.3199506538468901
ry | 4 | -1.3936920150662813
ry | 5 | -0.7866526210983111
ry | 6 | 0.05593031308670612
