x | 0 | 
x | 2 | 
ry | 0 | 2.6796929776668748
ry | 1 | -0.7611483459624846
ry | 2 | 1.5120865065019704
ry | 3 | 2.100752924669789
ry | 4 | 1.968401249593756
ry | 5 | -2.3610102475713903
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 2.9778627931032453
ry | 1 | 0.7596014735895694
ry | 2 | 0.041361627291467334
ry | 3 | 0.008988639197908217
ry | 4 | -0.4992096473827417
ry | 5 | 0.0009229087931272215
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.56774307488026
ry | 1 | 3.1154331436650087
ry | 2 | -1.537693197745989
ry | 3 | -1.1527002642645818
ry | 4 | -0.400000954887493
ry | 5 | 2.4207313633956598
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.6857007196411038
ry | 1 | -0.023245111141314476
ry | 2 | 0.062372778599119
ry | 3 | 1.4625895599380043
ry | 4 | 0.0020419441917836414
ry | 5 | -0.0007364207248516916
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.04762801723158735
ry | 1 | -1.613199703931917
ry | 2 | 0.042695515767722805
ry | 3 | -0.3799504144122739
ry | 4 | -1.572635613180805
ry | 5 | -0.05903641405884872
