x | 0 | 
x | 1 | 
x | 3 | 
ry | 0 | 1.1364224397140748
ry | 1 | -2.4421510957960297
ry | 2 | -1.5675295907588327
ry | 3 | 1.5738522564810107
ry | 4 | -0.10228866332104826
ry | 5 | -0.47565527366031135
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.8843645650584124
ry | 1 | 0.4405689014934661
ry | 2 | 0.0010296115176131628
ry | 3 | -1.435064206122807
ry | 4 | -1.1973617290987804
ry | 5 | -1.0776592044442648
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -3.437315129710981
ry | 1 | 3.415511432887435
ry | 2 | 1.5684400055798071
ry | 3 | 1.600180181929562
ry | 4 | -1.1340411752014619
ry | 5 | -0.1404301306706815
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.697047340297124
ry | 1 | -0.00615846503184613
ry | 2 | 0.01582777213383747
ry | 3 | 1.570721663099496
ry | 4 | -1.5574895256958374
ry | 5 | 1.3880226333376926
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.002487336215428359
ry | 1 | -0.0009151667561680127
ry | 2 | -1.3575079300648343
ry | 3 | -0.0008808061986420409
ry | 4 | -0.003966360465171102
ry | 5 | 0.4218456061427745
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.8628476376462519
ry | 1 | 0.0035380553551054884
ry | 2 | -0.019500051029739715
ry | 3 | -1.5700868473333818
ry | 4 | 1.0587114520513
ry | 5 | -1.553079980199426
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.61506100040992
ry | 1 | -0.7908550015261488
ry | 2 | -0.003790884519871486
ry | 3 | -3.1706124930538144
ry | 4 | 0.05882743325866266
ry | 5 | 1.5097019702008017
