x | 0 | 
x | 2 | 
x | 4 | 
ry | 0 | -0.3811459236241286
ry | 1 | 1.5604465180741998
ry | 2 | -0.46417775171585507
ry | 3 | 1.571726926459629
ry | 4 | -0.19994104542331534
ry | 5 | -0.0002880380470822997
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.14330427529637238
ry | 1 | 0.07130697583493689
ry | 2 | -0.1637622987507674
ry | 3 | 0.00020873140180244942
ry | 4 | 0.13575514370363173
ry | 5 | -0.00010580436318050798
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.53730279754487
ry | 1 | 0.04225683401296132
ry | 2 | 0.4604260026668317
ry | 3 | -1.5752089574554387
ry | 4 | -0.07773231223738751
ry | 5 | 0.00017771945715177784
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.5506292806424012
ry | 1 | 0.09049965232626565
ry | 2 | -0.00016692422004453987
ry | 3 | -7.6991904250934e-06
ry | 4 | -0.03893912665225691
ry | 5 | -0.03136631386185381
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.4801249635807623
ry | 1 | 0.019444836593137657
ry | 2 | 1.0425766023841638
ry | 3 | -1.5712942722718772
ry | 4 | 0.06426464411361593
ry | 5 | -0.04765268129711744
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.25509109793123125
ry | 1 | -0.014807794341191
ry | 2 | 0.04367610304571566
ry | 3 | 0.001237555689137874
ry | 4 | -0.024192909655431676
ry | 5 | -9.894198429119194e-06
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.4818260820632414
ry | 1 | -1.5803676973890215
ry | 2 | -1.0433171636738467
ry | 3 | 1.5731680951563478
ry | 4 | 0.21398689727306855
ry | 5 | 0.04771102691845914
