x | 0 | 
x | 2 | 
x | 4 | 
ry | 0 | -5.36379280253071e-7
ry | 1 | -2.50087046640569
ry | 2 | -0.0817544711829643
ry | 3 | -0.00233121536752455
ry | 4 | 1.57081442192503
ry | 5 | -1.57079570429629
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 1.57079588936263
ry | 1 | -1.57080170192806
ry | 2 | -1.92463495437975
ry | 3 | 0.00319202644749626
ry | 4 | -0.683128382099165
ry | 5 | -2.05245364267864e-6
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -1.98192710954706e-5
ry | 1 | -1.59479661398517e-6
ry | 2 | 3.14158302789134
ry | 3 | -2.07375337742852
ry | 4 | 2.57382839197337e-8
ry | 5 | -2.40867340132240e-6
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 2.38419441336266
ry | 1 | -2.71008104352104
ry | 2 | -0.00366065854528189
ry | 3 | -1.57077043038739
ry | 4 | 1.57079356488205
ry | 5 | 1.57078706805982
