x | 2 | 
ry | 0 | -0.0428913704341061
ry | 1 | 0.154215420642431
ry | 2 | -0.226107602568562
ry | 3 | 0.00568555073733181
ry | 4 | -0.293779699526399
ry | 5 | 2.96926175104199
ry | 6 | -1.30292017845271
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -1.25087296042901
ry | 1 | 2.09154012782295
ry | 2 | 2.06888214382024
ry | 3 | 1.01201895407924
ry | 4 | -0.145965218996107
ry | 5 | -1.16696912774898
ry | 6 | -1.77994923010958
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 1.50457772637090
ry | 1 | -0.0253172818823798
ry | 2 | -0.905050424531280
ry | 3 | 1.39250610670531
ry | 4 | 1.56727718537200
ry | 5 | -1.91947446536651
ry | 6 | 1.73601008456067
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 1.52034060355737
ry | 1 | -0.186300495493858
ry | 2 | 1.46200476483658
ry | 3 | 1.03627029341962
ry | 4 | -0.0246632678145143
ry | 5 | 0.980748320803448
ry | 6 | -0.164463593140845
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.546976202132723
ry | 1 | -0.520691079102625
ry | 2 | -1.19520426533310
ry | 3 | -0.410918131232530
ry | 4 | 1.52559997475502
ry | 5 | -0.723911235216276
ry | 6 | -1.54426053501155
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -1.49825213362492
ry | 1 | 2.36779807901810
ry | 2 | -1.35224278288258
ry | 3 | -1.40972999689359
ry | 4 | -0.175213179454248
ry | 5 | -1.43315729677686
ry | 6 | 0.278644446859350
