x | 0 | 
x | 1 | 
x | 3 | 
ry | 0 | -1.56095998235079
ry | 1 | -0.379569801455686
ry | 2 | -0.0818370770694825
ry | 3 | 0.0102806138964966
ry | 4 | -0.00251706648868131
ry | 5 | -0.0398727626573539
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.000918047705898418
ry | 1 | -0.523127298153946
ry | 2 | -0.376954753231708
ry | 3 | -0.000427948712003966
ry | 4 | -0.00300977445040175
ry | 5 | -1.34492721888147
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 3.11675200235116
ry | 1 | -2.74121198450403e-6
ry | 2 | -1.50926463972781
ry | 3 | 1.76208996911151
ry | 4 | -1.51792668193790
ry | 5 | 1.27283245551017
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.00165196748196337
ry | 1 | -1.53009705524123
ry | 2 | 1.56881710871554
ry | 3 | 1.51746287900270
ry | 4 | 0.00247043654549018
ry | 5 | -0.0203341548168872
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.0556983201617465
ry | 1 | 0.0141685473836390
ry | 2 | -0.000432154591703543
ry | 3 | 0.00247151930953858
ry | 4 | -1.57609925792236
ry | 5 | -0.0240647250806707
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 1.20921911014099
ry | 1 | -1.34188754470143
ry | 2 | -1.57380016607011
ry | 3 | -1.56443469630566
ry | 4 | 0.000279698401644660
ry | 5 | 0.00225188298783689
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.585169098359164
ry | 1 | 0.0699783385578348
ry | 2 | 1.55153308507277
ry | 3 | -1.53540985284016
ry | 4 | 0.0117914538115492
ry | 5 | -0.343301044963971
