x | 0 | 
x | 2 | 
ry | 0 | 0.0187010416334767
ry | 1 | -0.339820312058296
ry | 2 | 0.534908444009455
ry | 3 | -0.519244479275289
ry | 4 | -0.190628367878862
ry | 5 | -0.290733443914281
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.0397218704220310
ry | 1 | -0.0195876687821716
ry | 2 | 0.421709819965779
ry | 3 | -0.0293157403161079
ry | 4 | -0.0194606496193665
ry | 5 | 0.988897178189557
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.0452527225185285
ry | 1 | -0.293824468894435
ry | 2 | 0.0322468164935971
ry | 3 | -0.0256916977074628
ry | 4 | -0.0585520910086529
ry | 5 | -0.0985183875811819
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.155481860868815
ry | 1 | -1.21427181427992
ry | 2 | -0.712141109068515
ry | 3 | 0.451339118023690
ry | 4 | 0.307718543235719
ry | 5 | 0.00862020531113993
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.0398955501170699
ry | 1 | -0.0613575907071480
ry | 2 | -0.00421390681875387
ry | 3 | 0.115123171006118
ry | 4 | 0.0169422009112508
ry | 5 | -0.0628549778701018
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.689898861700837
ry | 1 | 0.244129478551358
ry | 2 | 0.813209170976985
ry | 3 | 0.380422891238320
ry | 4 | -0.0960915443219196
ry | 5 | 0.0490627232941845
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.0433328146949103
ry | 1 | -0.0894028901718746
ry | 2 | -0.172910770584020
ry | 3 | 0.199892768890786
ry | 4 | 0.141121235779584
ry | 5 | -0.871023307245793
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.0101557057863466
ry | 1 | 0.301406624182349
ry | 2 | -0.493330865681029
ry | 3 | -0.0657574177073152
ry | 4 | -0.270271534753718
ry | 5 | 0.0611578554399995
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.806624496496350
ry | 1 | 0.414645470497712
ry | 2 | 0.208817900794605
ry | 3 | 0.0469650436070025
ry | 4 | -0.0206830767212276
ry | 5 | 0.0429333020014630
