x | 0 | 
x | 2 | 
x | 4 | 
ry | 0 | -0.325657191099567
ry | 1 | -1.47702264266414
ry | 2 | 1.47496441926553
ry | 3 | 0.000173919156749805
ry | 4 | -9.18576112337751e-6
ry | 5 | -0.000954347477892023
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.000485860202619380
ry | 1 | -1.57181733857184
ry | 2 | 0.655106495050767
ry | 3 | -0.000175745662681894
ry | 4 | -0.00364811595041693
ry | 5 | 1.57387631616490
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00345943657913692
ry | 1 | -8.92858378700763e-7
ry | 2 | -1.12262672411039e-6
ry | 3 | 1.60230310073855
ry | 4 | 0.186822042397281
ry | 5 | -2.54106151800423
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.52672075810690e-6
ry | 1 | -0.000808877189728423
ry | 2 | -0.00206564752553233
ry | 3 | 0.500696288415616
ry | 4 | -0.000935564535124118
ry | 5 | 0.000646168886364254
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.55902201508526
ry | 1 | -3.14158727258732
ry | 2 | 0.141039318547559
ry | 3 | 1.98314557592372e-6
ry | 4 | 0.000441865150094268
ry | 5 | -8.56820453511981e-6
