x | 2 | 
ry | 0 | 0.824954482524803
ry | 1 | -3.03544910855472
ry | 2 | -0.922708466796772
ry | 3 | 0.0438412965292036
ry | 4 | 0.0175585897813643
ry | 5 | 1.14831842387784
ry | 6 | -0.217641231956790
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 0.266663874335367
ry | 1 | -0.0856155539962240
ry | 2 | -3.26507520450781
ry | 3 | 0.0274145239293242
ry | 4 | 0.466670796569286
ry | 5 | -3.13356807133097e-5
ry | 6 | -0.737849355092038
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | -0.0176165939806407
ry | 1 | 0.649307234881859
ry | 2 | 2.02154560714462
ry | 3 | -3.40975427550649
ry | 4 | -0.0121685772905032
ry | 5 | -0.00571134662064299
ry | 6 | -0.109337739235592
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | -0.0113813917944790
ry | 1 | 2.14957322261767
ry | 2 | -0.730518457249990
ry | 3 | -1.90951713951549
ry | 4 | -1.49341981457496
ry | 5 | 0.0160262646658549
ry | 6 | 0.00120207950702896
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 0.0483708648617040
ry | 1 | -0.0900689767891098
ry | 2 | -3.59769046840622
ry | 3 | 0.107335016537278
ry | 4 | -0.197603349615454
ry | 5 | -1.00601147285183
ry | 6 | 1.55766533216816
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 1.64679992156329
ry | 1 | -0.356872502966636
ry | 2 | 0.141244987402163
ry | 3 | -1.19325247136021
ry | 4 | 0.901184211750267
ry | 5 | 0.00913515348126824
ry | 6 | -0.00144935896791180
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | -0.0713014657999295
ry | 1 | -0.357014297694851
ry | 2 | 1.59927869209703
ry | 3 | -1.57212400496286
ry | 4 | 0.0847002294660358
ry | 5 | 0.677602188065409
ry | 6 | 0.326981864718431
