x | 0 | 
x | 2 | 
ry | 0 | -0.0342141800122369
ry | 1 | -0.00268045492865196
ry | 2 | 0.0407864002125173
ry | 3 | 0.0562965254744392
ry | 4 | -0.00977275461156080
ry | 5 | -0.0165649882106501
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.152912888928112
ry | 1 | -0.00656612934555127
ry | 2 | -0.0805169925637521
ry | 3 | 0.00156228393071807
ry | 4 | 0.00132775085823774
ry | 5 | 0.0475211375021365
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00369356847646321
ry | 1 | 0.646107310246769
ry | 2 | -0.0129808917364823
ry | 3 | -0.0448175065923357
ry | 4 | -0.000590669140786055
ry | 5 | -0.0303688700536762
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0168098204718341
ry | 1 | 0.0190715070003695
ry | 2 | 0.474310967551811
ry | 3 | 0.0316408114043344
ry | 4 | 0.0500863501625659
ry | 5 | 0.000152885567842469
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0440866915076282
ry | 1 | 0.214256126273622
ry | 2 | 0.0593279135935321
ry | 3 | -0.00733814793293222
ry | 4 | 0.0278656317185143
ry | 5 | 0.499625121671967
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0326261051363021
ry | 1 | 0.0266252660245017
ry | 2 | 0.125094444145847
ry | 3 | 0.0158412957541473
ry | 4 | 0.00316837513050504
ry | 5 | 0.371261251405055
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0121740435561747
ry | 1 | 0.0642321983257718
ry | 2 | 0.0239116202938295
ry | 3 | -0.0644882772688213
ry | 4 | -0.00176958351669245
ry | 5 | -0.785551820312443
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.382705107006290
ry | 1 | 0.372720075087301
ry | 2 | 0.0530628432902778
ry | 3 | 1.68679296640838
ry | 4 | -0.214646386398058
ry | 5 | -0.0938543002998290
