x | 0 | 
x | 1 | 
x | 3 | 
ry | 0 | -0.345641184634924
ry | 1 | -0.681552131496279
ry | 2 | -1.46192854793308
ry | 3 | -0.000270893537582389
ry | 4 | 1.00494752457093
ry | 5 | 0.00849176423083600
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0756297360993811
ry | 1 | -0.424558090574155
ry | 2 | 1.09470383777673
ry | 3 | 0.0293569308879023
ry | 4 | 0.00588114613970929
ry | 5 | 0.335560157195062
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.00175343307908036
ry | 1 | 0.147181380314102
ry | 2 | 1.13213022771600
ry | 3 | -0.681012996555960
ry | 4 | 1.76338403785077
ry | 5 | -0.943717945900913
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.00137740264057200
ry | 1 | 2.35116435050026
ry | 2 | 0.840708439840428
ry | 3 | -0.309826167674121
ry | 4 | -0.00656087255128330
ry | 5 | 0.708996851699204
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.00676481139879524
ry | 1 | -0.000937915250742395
ry | 2 | -0.0307029583401671
ry | 3 | -1.42681202880834
ry | 4 | -0.182087500776359
ry | 5 | 0.000804750936736185
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.766642753237955
ry | 1 | -0.00738693657385487
ry | 2 | -0.167851045269667
ry | 3 | 0.692531329828512
ry | 4 | 0.0206060330400536
ry | 5 | -0.670510526906503
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.000538440989394877
ry | 1 | 0.000851430437521162
ry | 2 | 0.00296136840668629
ry | 3 | -1.11114215715150
ry | 4 | -0.0427166786763940
ry | 5 | -0.787218089830206
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.56128868760532
ry | 1 | -1.55760542405418
ry | 2 | 0.666598661435687
ry | 3 | -0.00248095176815783
ry | 4 | -1.48972797408064
ry | 5 | -0.546114378888124
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.270216535982727
ry | 1 | -0.485547063597124
ry | 2 | 1.35843556201583
ry | 3 | 0.0329703262683784
ry | 4 | -0.00709239988740707
ry | 5 | 1.39919635592453
